role,jobTitle,location,salary
manager,Sales Manager,Denver,122845
employee,Sales Development Rep,Austin,111545
hr,HR Business Partner,Seattle,89436
employee,Account Executive,San Francisco,133035
employee,Account Executive,Denver,113425
employee,Graphic Designer,San Francisco,128700
hr,HR Generalist,Miami,72311
employee,Software Engineer,Boston,74513
employee,DevOps Engineer,Denver,84150
hr,Compensation Analyst,Miami,89909
employee,Graphic Designer,Atlanta,92701
employee,Senior Software Engineer,Austin,68923
employee,Sales Development Rep,Austin,110677
employee,Graphic Designer,Chicago,107674
employee,DevOps Engineer,Austin,86434
employee,Account Executive,Los Angeles,122706
hr,Compensation Analyst,Denver,82867
hr,HR Generalist,Austin,72651
employee,Account Executive,Austin,107635
employee,Cloud Architect,San Francisco,110203
employee,UI/UX Designer,Miami,94811
manager,Director of Operations,Denver,139787
employee,Software Engineer,Atlanta,60018
employee,UI/UX Designer,Los Angeles,104523
employee,Graphic Designer,Atlanta,90832
employee,Data Scientist,Miami,80613
manager,Project Manager,Chicago,121960
employee,Sales Development Rep,San Francisco,125498
employee,Cloud Architect,Seattle,104029
manager,Director of Operations,Denver,139711
manager,Product Manager,San Francisco,155225
employee,Account Executive,Seattle,119144
employee,Marketing Coordinator,San Francisco,144885
employee,Marketing Coordinator,Denver,119270
employee,Account Executive,Austin,114485
employee,DevOps Engineer,Boston,96305
employee,Graphic Designer,Boston,119941
manager,Product Manager,Los Angeles,135490
employee,QA Tester,Miami,78728
employee,Account Executive,Los Angeles,115625
employee,UI/UX Designer,Los Angeles,105095
employee,Data Scientist,San Francisco,94999
employee,Data Scientist,New York,85622
employee,Marketing Coordinator,Boston,131883
manager,Project Manager,Denver,109487
employee,SEO Specialist,San Francisco,153467
manager,Project Manager,San Francisco,147483
hr,Compensation Analyst,Seattle,98454
employee,Data Scientist,Denver,77730
employee,Sales Development Rep,Miami,113190
employee,Marketing Coordinator,Chicago,124378
manager,Project Manager,New York,140295
hr,Compensation Analyst,San Francisco,110474
employee,Cloud Architect,Atlanta,87183
employee,Cloud Architect,Denver,91107
hr,Technical Recruiter,New York,96706
hr,Technical Recruiter,Boston,89775
employee,Senior Software Engineer,Seattle,80021
manager,Sales Manager,Miami,132353
employee,SEO Specialist,Austin,117181
employee,QA Tester,Atlanta,78116
employee,Marketing Coordinator,Seattle,133298
employee,Cloud Architect,Boston,106011
employee,DevOps Engineer,Los Angeles,90277
employee,DevOps Engineer,Denver,85518
employee,Senior Software Engineer,Miami,69345
manager,Product Manager,Austin,124950
employee,Software Engineer,Seattle,74351
employee,DevOps Engineer,Boston,98265
hr,Technical Recruiter,San Francisco,99446
employee,Software Engineer,Miami,66842
employee,Cloud Architect,Miami,94464
employee,Sales Development Rep,Atlanta,101235
employee,Account Executive,Boston,129590
employee,Software Engineer,New York,78511
employee,Senior Software Engineer,Denver,72780
employee,Sales Development Rep,Los Angeles,115356
employee,Cloud Architect,San Francisco,117349
employee,DevOps Engineer,Boston,101136
employee,QA Tester,Chicago,86040
employee,Sales Development Rep,Boston,120872
employee,SEO Specialist,Seattle,130347
employee,DevOps Engineer,Seattle,98858
employee,Cloud Architect,Los Angeles,98038
employee,UI/UX Designer,Atlanta,86170
manager,Engineering Manager,Boston,148964
employee,DevOps Engineer,San Francisco,106003
employee,DevOps Engineer,Miami,84192
employee,Cloud Architect,Atlanta,83224
employee,SEO Specialist,New York,141965
employee,Marketing Coordinator,Boston,134747
employee,Senior Software Engineer,Los Angeles,75668
hr,HR Business Partner,Chicago,85419
employee,Senior Software Engineer,Los Angeles,76286
employee,QA Tester,Miami,80707
employee,Graphic Designer,Austin,96916
employee,DevOps Engineer,Boston,98686
employee,SEO Specialist,New York,147454
employee,Software Engineer,New York,79312
manager,Engineering Manager,Boston,150161
employee,Software Engineer,Austin,67633
employee,QA Tester,San Francisco,100348
employee,Marketing Coordinator,Chicago,123640
employee,DevOps Engineer,San Francisco,102722
employee,Senior Software Engineer,Atlanta,63954
employee,Cloud Architect,Chicago,97265
employee,DevOps Engineer,Austin,85036
hr,Technical Recruiter,Miami,81245
employee,Cloud Architect,Miami,93342
manager,Engineering Manager,Boston,151973
manager,Engineering Manager,Atlanta,125773
employee,QA Tester,San Francisco,103749
manager,Director of Operations,San Francisco,167289
employee,Graphic Designer,Seattle,112067
manager,Project Manager,Los Angeles,122954
hr,Technical Recruiter,New York,90454
employee,Sales Development Rep,San Francisco,129881
hr,Technical Recruiter,Seattle,89572
employee,Marketing Coordinator,Atlanta,110195
manager,Product Manager,Chicago,129554
employee,DevOps Engineer,Miami,87014
employee,Software Engineer,New York,76832
manager,Director of Operations,Seattle,153659
employee,UI/UX Designer,Los Angeles,109034
employee,SEO Specialist,Chicago,128760
employee,Account Executive,Austin,108450
employee,Sales Development Rep,San Francisco,134326
employee,Software Engineer,Seattle,70143
employee,QA Tester,Atlanta,72491
employee,Account Executive,Seattle,119965
manager,Sales Manager,Atlanta,118809
employee,Cloud Architect,Chicago,97651
manager,Project Manager,Seattle,126880
employee,Account Executive,Chicago,117175
hr,Technical Recruiter,Chicago,78329
employee,QA Tester,Seattle,85661
employee,Software Engineer,Seattle,74993
employee,Software Engineer,Chicago,68071
employee,QA Tester,Boston,95533
employee,Cloud Architect,Seattle,104171
employee,Software Engineer,New York,80963
manager,Director of Operations,San Francisco,175423
employee,Senior Software Engineer,Los Angeles,76015
employee,Marketing Coordinator,Seattle,128199
employee,Cloud Architect,Boston,108662
manager,Engineering Manager,Austin,129285
employee,Graphic Designer,Boston,114916
employee,QA Tester,Miami,82916
employee,Cloud Architect,Los Angeles,103259
employee,Sales Development Rep,Miami,106376
employee,UI/UX Designer,Los Angeles,103293
employee,Graphic Designer,New York,122131
employee,Senior Software Engineer,Austin,72779
employee,SEO Specialist,San Francisco,156803
employee,Senior Software Engineer,Atlanta,69246
employee,DevOps Engineer,Chicago,85966
employee,SEO Specialist,Los Angeles,135572
employee,UI/UX Designer,Los Angeles,102753
employee,Data Scientist,Atlanta,67706
employee,Marketing Coordinator,New York,133585
employee,Cloud Architect,Los Angeles,100198
employee,Account Executive,Chicago,110623
employee,Account Executive,Denver,111653
employee,Sales Development Rep,Denver,109646
manager,Director of Operations,Los Angeles,148451
employee,UI/UX Designer,Chicago,95325
manager,Sales Manager,Chicago,127582
employee,Marketing Coordinator,Denver,114384
manager,Project Manager,Austin,119267
employee,Account Executive,Seattle,123188
employee,Account Executive,Los Angeles,117500
employee,Sales Development Rep,Seattle,113423
employee,Senior Software Engineer,Chicago,76269
employee,Data Scientist,Atlanta,72393
employee,Sales Development Rep,Los Angeles,114590
employee,SEO Specialist,Miami,122358
employee,Senior Software Engineer,Denver,71174
employee,Data Scientist,Chicago,82060
hr,HR Generalist,New York,83279
employee,Software Engineer,San Francisco,82571
employee,SEO Specialist,Denver,123879
employee,Account Executive,Miami,109962
employee,SEO Specialist,Austin,125955
hr,Compensation Analyst,Miami,89172
manager,Sales Manager,Atlanta,123048
employee,UI/UX Designer,Denver,91339
manager,Sales Manager,Seattle,142054
employee,Marketing Coordinator,Boston,125878
employee,Graphic Designer,Los Angeles,112569
employee,SEO Specialist,Atlanta,109705
hr,HR Generalist,Boston,83269
manager,Director of Operations,Atlanta,125311
employee,Senior Software Engineer,Miami,68514
employee,Software Engineer,Denver,67540
employee,Graphic Designer,Atlanta,90566
employee,Data Scientist,Seattle,87816
manager,Product Manager,Austin,128192
employee,UI/UX Designer,San Francisco,120219
manager,Product Manager,Los Angeles,126939
employee,Senior Software Engineer,Atlanta,65703
manager,Project Manager,Seattle,133650
employee,Software Engineer,Boston,72243
employee,QA Tester,New York,91577
manager,Engineering Manager,Atlanta,117976
employee,QA Tester,San Francisco,100247
employee,Senior Software Engineer,Austin,72081
employee,Marketing Coordinator,Atlanta,107243
hr,Technical Recruiter,Miami,83096
employee,Data Scientist,Chicago,80419
employee,Data Scientist,Denver,72331
employee,Senior Software Engineer,Boston,76551
manager,Project Manager,Miami,118568
employee,Software Engineer,Los Angeles,71143
employee,DevOps Engineer,Denver,83949
employee,Marketing Coordinator,Austin,118243
employee,Graphic Designer,Denver,98850
employee,Account Executive,Seattle,122550
employee,DevOps Engineer,Boston,102328
employee,SEO Specialist,New York,142163
hr,HR Business Partner,Miami,80597
employee,Cloud Architect,Atlanta,81363
employee,Cloud Architect,Los Angeles,94578
employee,UI/UX Designer,Chicago,99251
employee,Marketing Coordinator,Los Angeles,127142
employee,DevOps Engineer,San Francisco,109976
employee,Graphic Designer,San Francisco,124432
employee,Software Engineer,Seattle,71674
employee,SEO Specialist,Chicago,127092
employee,QA Tester,New York,91459
employee,Software Engineer,Austin,63663
employee,Data Scientist,Seattle,87507
employee,Data Scientist,Miami,75442
employee,Senior Software Engineer,Atlanta,68374
employee,Account Executive,San Francisco,141669
employee,Senior Software Engineer,Miami,70776
employee,Cloud Architect,New York,113245
employee,Data Scientist,Miami,80337
employee,Software Engineer,Boston,78177
employee,Senior Software Engineer,Denver,73197
employee,Graphic Designer,New York,122206
employee,Cloud Architect,New York,111164
employee,UI/UX Designer,Seattle,101828
employee,Senior Software Engineer,San Francisco,89169
manager,Director of Operations,Los Angeles,145684
employee,Software Engineer,Seattle,72514
employee,DevOps Engineer,Austin,83020
hr,Technical Recruiter,San Francisco,97298
employee,Marketing Coordinator,Austin,117932
employee,Data Scientist,San Francisco,93298
employee,QA Tester,Austin,79569
employee,SEO Specialist,Los Angeles,134606
employee,Cloud Architect,Miami,93327
hr,HR Generalist,Chicago,75004
hr,Compensation Analyst,Miami,91509
employee,Senior Software Engineer,Atlanta,65809
employee,UI/UX Designer,Austin,100440
employee,DevOps Engineer,New York,106539
employee,Account Executive,Los Angeles,124827
employee,Senior Software Engineer,Austin,69741
employee,Software Engineer,Austin,63272
employee,Account Executive,Boston,129885
employee,Graphic Designer,Los Angeles,107404
employee,Cloud Architect,Boston,104739
employee,Data Scientist,Chicago,81894
employee,Account Executive,Los Angeles,117682
hr,Technical Recruiter,Seattle,83472
manager,Project Manager,Atlanta,114300
employee,Data Scientist,Seattle,85202
employee,DevOps Engineer,New York,104150
hr,Compensation Analyst,San Francisco,104988
employee,Sales Development Rep,Seattle,115869
employee,DevOps Engineer,Austin,85095
hr,Compensation Analyst,Boston,101413
employee,QA Tester,Seattle,94003
employee,DevOps Engineer,Seattle,98107
manager,Project Manager,Chicago,126746
employee,DevOps Engineer,Boston,94860
employee,Graphic Designer,Austin,101518
employee,Marketing Coordinator,San Francisco,141921
employee,Sales Development Rep,New York,128159
employee,Marketing Coordinator,San Francisco,149019
employee,Account Executive,Boston,130013
employee,QA Tester,New York,92555
employee,UI/UX Designer,New York,119137
manager,Product Manager,Denver,119212
employee,Graphic Designer,Boston,113873
employee,Marketing Coordinator,Chicago,123266
employee,Account Executive,Austin,116297
employee,SEO Specialist,Atlanta,115861
employee,Senior Software Engineer,Seattle,74893
employee,DevOps Engineer,Seattle,98285
employee,UI/UX Designer,Miami,94895
employee,Account Executive,San Francisco,142339
employee,Sales Development Rep,Boston,117105
employee,Graphic Designer,Miami,107937
employee,Software Engineer,Denver,62165
employee,DevOps Engineer,San Francisco,109646
hr,Compensation Analyst,San Francisco,103510
employee,Account Executive,Chicago,115044
employee,Graphic Designer,Miami,100832
employee,SEO Specialist,San Francisco,144587
employee,QA Tester,Austin,81823
employee,Software Engineer,Boston,75458
manager,Project Manager,Seattle,124681
employee,Cloud Architect,Atlanta,87992
employee,QA Tester,Seattle,86977
employee,Sales Development Rep,San Francisco,125162
employee,Sales Development Rep,Denver,109507
employee,Cloud Architect,Miami,90355
manager,Product Manager,Los Angeles,129740
hr,Compensation Analyst,New York,99548
employee,Graphic Designer,Austin,106277
manager,Engineering Manager,Seattle,147566
employee,Senior Software Engineer,Boston,83389
employee,Marketing Coordinator,Seattle,122385
employee,SEO Specialist,Atlanta,118296
manager,Project Manager,Austin,120061
employee,Graphic Designer,Austin,103816
employee,SEO Specialist,Denver,124961
employee,Senior Software Engineer,Boston,83966
employee,Sales Development Rep,Boston,121048
employee,Graphic Designer,Austin,103929
employee,Software Engineer,Denver,64241
employee,SEO Specialist,Atlanta,113484
employee,SEO Specialist,Atlanta,116546
employee,Graphic Designer,Denver,95072
manager,Engineering Manager,Denver,132226
hr,HR Business Partner,Los Angeles,93793
manager,Director of Operations,Boston,148133
manager,Product Manager,Atlanta,114886
employee,Data Scientist,Austin,80322
employee,UI/UX Designer,New York,109645
employee,QA Tester,Boston,91142
manager,Director of Operations,San Francisco,168841
employee,DevOps Engineer,Chicago,86795
employee,Graphic Designer,Boston,113964
employee,DevOps Engineer,Chicago,85664
employee,SEO Specialist,Boston,143527
employee,Senior Software Engineer,Boston,82250
manager,Sales Manager,San Francisco,155636
manager,Engineering Manager,New York,163146
employee,Graphic Designer,Atlanta,91217
employee,UI/UX Designer,Seattle,107298
employee,QA Tester,Los Angeles,85512
employee,Data Scientist,Seattle,84300
employee,Sales Development Rep,Chicago,113017
manager,Sales Manager,New York,146767
employee,QA Tester,New York,97956
manager,Sales Manager,Seattle,144602
employee,QA Tester,Los Angeles,84816
manager,Director of Operations,Seattle,152174
employee,Cloud Architect,Miami,96909
employee,Account Executive,Los Angeles,125840
employee,Senior Software Engineer,Boston,81629
employee,Senior Software Engineer,Miami,72592
employee,Sales Development Rep,Seattle,121501
employee,Software Engineer,Boston,78336
employee,QA Tester,Atlanta,73336
employee,UI/UX Designer,Atlanta,88030
employee,Graphic Designer,Miami,105637
manager,Engineering Manager,Los Angeles,140504
employee,SEO Specialist,San Francisco,157150
employee,SEO Specialist,Los Angeles,130769
employee,Account Executive,Los Angeles,120626
employee,Senior Software Engineer,Seattle,78365
employee,QA Tester,Boston,92183
manager,Sales Manager,Denver,128660
manager,Product Manager,New York,145035
employee,Marketing Coordinator,New York,143533
employee,Cloud Architect,New York,108160
hr,HR Business Partner,Austin,87750
employee,Sales Development Rep,Denver,103177
employee,Account Executive,Chicago,118180
hr,HR Generalist,Los Angeles,82510
hr,Compensation Analyst,San Francisco,105917
manager,Sales Manager,Miami,128358
employee,Marketing Coordinator,Seattle,128538
employee,Account Executive,Boston,122455
employee,Sales Development Rep,Denver,103567
employee,Graphic Designer,San Francisco,127482
employee,Senior Software Engineer,Austin,67864
employee,Data Scientist,Seattle,87965
employee,Graphic Designer,Boston,114391
employee,Marketing Coordinator,San Francisco,140597
employee,Graphic Designer,New York,117235
manager,Sales Manager,New York,153320
employee,SEO Specialist,Denver,124616
employee,Sales Development Rep,Denver,105175
employee,SEO Specialist,Seattle,133557
manager,Product Manager,Miami,123038
employee,QA Tester,Miami,78827
employee,Senior Software Engineer,San Francisco,91304
employee,DevOps Engineer,New York,103012
hr,HR Generalist,San Francisco,91635
employee,Graphic Designer,New York,124101
employee,Data Scientist,Austin,78848
employee,QA Tester,San Francisco,99882
employee,UI/UX Designer,Denver,99475
manager,Sales Manager,San Francisco,161219
employee,QA Tester,Atlanta,72262
employee,Marketing Coordinator,Austin,122049
manager,Director of Operations,Seattle,147165
employee,Graphic Designer,Atlanta,98174
manager,Director of Operations,San Francisco,164366
employee,Data Scientist,Denver,73069
hr,Technical Recruiter,San Francisco,99179
manager,Director of Operations,Boston,153044
employee,DevOps Engineer,New York,105647
employee,UI/UX Designer,Atlanta,89316
employee,Account Executive,Miami,108178
manager,Sales Manager,Boston,150271
employee,Data Scientist,Los Angeles,80226
employee,Sales Development Rep,San Francisco,135091
employee,Graphic Designer,Atlanta,99335
employee,QA Tester,San Francisco,101307
manager,Sales Manager,New York,151247
employee,Senior Software Engineer,Miami,73803
manager,Project Manager,Los Angeles,126687
employee,Marketing Coordinator,Miami,119838
hr,Compensation Analyst,Seattle,97593
employee,Data Scientist,Boston,86342
employee,Sales Development Rep,Seattle,118976
employee,Senior Software Engineer,Austin,73748
employee,SEO Specialist,New York,141040
employee,Sales Development Rep,Denver,102863
employee,Account Executive,Chicago,114959
employee,Marketing Coordinator,Los Angeles,124548
employee,UI/UX Designer,Denver,92617
employee,DevOps Engineer,San Francisco,103014
employee,Data Scientist,Los Angeles,82976
hr,HR Business Partner,Boston,92385
employee,Account Executive,Atlanta,102520
employee,Marketing Coordinator,Boston,130479
employee,Cloud Architect,Atlanta,86097
employee,UI/UX Designer,Austin,101610
hr,HR Business Partner,Miami,86064
hr,Technical Recruiter,Chicago,81302
manager,Director of Operations,Chicago,141788
employee,Senior Software Engineer,Miami,73153
employee,Sales Development Rep,New York,123401
employee,Account Executive,Austin,117281
employee,DevOps Engineer,Denver,87285
employee,Software Engineer,Atlanta,62806
employee,Account Executive,Atlanta,100732
employee,SEO Specialist,New York,144273
hr,HR Business Partner,Los Angeles,92795
employee,SEO Specialist,Miami,119241
employee,Data Scientist,Austin,73056
hr,Technical Recruiter,Atlanta,73584
employee,Software Engineer,Seattle,76178
employee,Cloud Architect,Atlanta,84036
employee,Graphic Designer,Denver,95825
employee,Senior Software Engineer,Denver,72919
employee,Marketing Coordinator,San Francisco,150239
hr,HR Generalist,Chicago,75619
employee,UI/UX Designer,Los Angeles,105350
employee,Sales Development Rep,Denver,102809
hr,HR Business Partner,Boston,91372
employee,Cloud Architect,Chicago,94951
employee,SEO Specialist,Boston,140188
employee,Senior Software Engineer,Seattle,75783
employee,Account Executive,Austin,112682
employee,UI/UX Designer,New York,110680
employee,Marketing Coordinator,Austin,115749
employee,DevOps Engineer,Boston,98951
employee,QA Tester,Los Angeles,85177
employee,Account Executive,Atlanta,108466
employee,Account Executive,Los Angeles,120855
employee,SEO Specialist,San Francisco,142944
employee,Account Executive,Austin,107345
employee,Graphic Designer,Boston,118711
hr,Compensation Analyst,Denver,85056
employee,UI/UX Designer,Miami,99913
employee,Senior Software Engineer,Miami,72413
employee,Marketing Coordinator,Chicago,117670
employee,Data Scientist,San Francisco,92219
hr,Compensation Analyst,Chicago,86865
employee,Cloud Architect,Seattle,97407
employee,QA Tester,Atlanta,77862
employee,SEO Specialist,New York,142759
employee,SEO Specialist,Seattle,138858
employee,QA Tester,Boston,91726
employee,QA Tester,Miami,78744
employee,Sales Development Rep,New York,128275
hr,Compensation Analyst,Chicago,94082
employee,DevOps Engineer,Chicago,85577
employee,UI/UX Designer,Austin,98022
hr,HR Generalist,Los Angeles,82840
employee,Marketing Coordinator,Denver,119887
employee,Sales Development Rep,Atlanta,102934
employee,Software Engineer,Chicago,67879
hr,Compensation Analyst,Austin,89075
employee,Cloud Architect,Los Angeles,101493
employee,Software Engineer,Austin,66050
employee,Senior Software Engineer,Austin,68856
employee,Marketing Coordinator,Boston,127813
employee,Software Engineer,Chicago,66336
employee,Cloud Architect,Chicago,98035
employee,Data Scientist,Los Angeles,83277
employee,SEO Specialist,Seattle,134360
employee,UI/UX Designer,Atlanta,94036
employee,Software Engineer,Boston,76963
employee,Marketing Coordinator,Atlanta,105473
employee,Senior Software Engineer,Atlanta,69202
employee,QA Tester,New York,99364
employee,Sales Development Rep,Los Angeles,119510
manager,Project Manager,Boston,135090
employee,DevOps Engineer,Seattle,91424
manager,Engineering Manager,New York,155188
manager,Project Manager,Boston,135351
employee,UI/UX Designer,New York,115975
employee,Cloud Architect,San Francisco,115908
employee,SEO Specialist,Austin,119137
employee,Software Engineer,Seattle,72634
employee,QA Tester,Los Angeles,90007
employee,UI/UX Designer,Austin,97949
employee,DevOps Engineer,San Francisco,107635
manager,Engineering Manager,Chicago,143039
employee,Account Executive,Miami,112309
employee,Account Executive,Los Angeles,117505
employee,Account Executive,Austin,113871
employee,Cloud Architect,Denver,91898
manager,Product Manager,San Francisco,152819
hr,Compensation Analyst,Chicago,91809
employee,DevOps Engineer,Boston,97141
employee,DevOps Engineer,Boston,99927
employee,QA Tester,Los Angeles,90388
employee,DevOps Engineer,Denver,85344
employee,DevOps Engineer,Boston,95435
employee,UI/UX Designer,San Francisco,116086
employee,Cloud Architect,New York,103712
manager,Sales Manager,Atlanta,113373
employee,Senior Software Engineer,Denver,72894
employee,Account Executive,Austin,114373
employee,Graphic Designer,Denver,102452
employee,SEO Specialist,Denver,115887
employee,Graphic Designer,Chicago,102709
employee,UI/UX Designer,Chicago,98747
employee,SEO Specialist,Chicago,128427
employee,Sales Development Rep,New York,120847
hr,Compensation Analyst,San Francisco,113275
employee,Sales Development Rep,Atlanta,97606
employee,UI/UX Designer,Miami,94321
employee,Software Engineer,Austin,69263
employee,UI/UX Designer,Boston,111652
employee,Senior Software Engineer,New York,84330
employee,Account Executive,San Francisco,138684
employee,DevOps Engineer,San Francisco,100979
manager,Director of Operations,Chicago,146012
employee,Data Scientist,Miami,73760
employee,DevOps Engineer,Seattle,95273
employee,UI/UX Designer,San Francisco,124163
employee,Marketing Coordinator,Atlanta,109705
employee,Data Scientist,Chicago,78423
employee,Software Engineer,Los Angeles,70543
employee,Marketing Coordinator,Austin,116850
employee,Sales Development Rep,Boston,126209
employee,QA Tester,Miami,85529
employee,Graphic Designer,Denver,97802
hr,HR Generalist,Seattle,77161
employee,Graphic Designer,Boston,112619
employee,Senior Software Engineer,Miami,74071
manager,Product Manager,Chicago,130461
employee,SEO Specialist,Austin,125553
hr,HR Business Partner,Miami,87152
manager,Sales Manager,Boston,147081
employee,Senior Software Engineer,Los Angeles,79499
employee,QA Tester,Denver,83583
employee,Graphic Designer,Austin,104817
employee,DevOps Engineer,New York,97753
manager,Project Manager,New York,140652
employee,UI/UX Designer,Austin,93288
employee,Software Engineer,San Francisco,84672
employee,Cloud Architect,San Francisco,107296
employee,UI/UX Designer,Austin,100634
employee,Senior Software Engineer,Austin,68934
employee,UI/UX Designer,Chicago,99897
hr,HR Business Partner,Miami,81215
employee,Marketing Coordinator,Chicago,117033
hr,HR Generalist,Los Angeles,75571
employee,DevOps Engineer,Denver,83326
employee,Software Engineer,Los Angeles,70368
employee,SEO Specialist,New York,142728
manager,Director of Operations,Miami,142348
manager,Director of Operations,New York,167350
employee,SEO Specialist,Atlanta,117695
hr,Technical Recruiter,Seattle,90053
employee,Senior Software Engineer,San Francisco,83793
employee,SEO Specialist,Denver,124788
employee,Marketing Coordinator,Atlanta,104831
employee,Sales Development Rep,Boston,121970
employee,Senior Software Engineer,New York,87158
employee,Marketing Coordinator,Los Angeles,120194
employee,Graphic Designer,San Francisco,128712
hr,HR Business Partner,Denver,84333
employee,Senior Software Engineer,Austin,67862
employee,UI/UX Designer,Austin,99769
manager,Project Manager,New York,144863
employee,Cloud Architect,Los Angeles,98835
employee,Data Scientist,New York,91283
employee,DevOps Engineer,Miami,85122
manager,Engineering Manager,Chicago,129687
employee,DevOps Engineer,Seattle,98624
hr,Compensation Analyst,New York,102388
manager,Director of Operations,Los Angeles,152004
employee,Account Executive,Boston,130128
employee,QA Tester,New York,100762
hr,Compensation Analyst,Chicago,89133
employee,UI/UX Designer,Miami,95922
manager,Product Manager,Miami,126770
manager,Director of Operations,Austin,139061
employee,DevOps Engineer,San Francisco,111136
employee,Marketing Coordinator,Los Angeles,128188
hr,HR Business Partner,Denver,84372
employee,Data Scientist,Boston,87076
hr,Compensation Analyst,Denver,89697
employee,DevOps Engineer,Austin,88810
employee,Cloud Architect,Miami,96278
hr,HR Generalist,Atlanta,66048
employee,Data Scientist,Austin,72784
manager,Project Manager,Chicago,121171
employee,Graphic Designer,Los Angeles,110529
manager,Director of Operations,Miami,144561
employee,DevOps Engineer,Austin,89912
employee,Cloud Architect,Boston,105405
employee,QA Tester,San Francisco,95605
employee,Marketing Coordinator,Denver,119581
hr,HR Generalist,New York,85420
employee,UI/UX Designer,San Francisco,118047
employee,SEO Specialist,New York,140082
employee,Sales Development Rep,Los Angeles,112347
employee,Senior Software Engineer,Miami,70276
employee,Account Executive,Austin,111747
employee,Senior Software Engineer,Atlanta,64064
employee,Marketing Coordinator,New York,140870
manager,Engineering Manager,New York,159750
manager,Project Manager,Atlanta,110487
employee,QA Tester,Denver,76133
hr,Technical Recruiter,Chicago,80835
employee,Graphic Designer,Seattle,114259
manager,Project Manager,Atlanta,109554
employee,Data Scientist,Boston,87389
hr,HR Business Partner,Seattle,89187
employee,DevOps Engineer,Chicago,87192
employee,QA Tester,Chicago,82590
employee,SEO Specialist,Miami,117641
employee,UI/UX Designer,Los Angeles,105096
employee,Data Scientist,New York,85843
hr,Technical Recruiter,Chicago,77376
employee,Software Engineer,Miami,70074
employee,Software Engineer,Seattle,69665
employee,Graphic Designer,Los Angeles,112614
employee,DevOps Engineer,San Francisco,102813
hr,HR Generalist,Austin,72078
employee,Account Executive,Chicago,117334
employee,Senior Software Engineer,Denver,68952
manager,Engineering Manager,Miami,136508
employee,UI/UX Designer,Seattle,109265
employee,UI/UX Designer,Los Angeles,106218
employee,DevOps Engineer,Los Angeles,96871
manager,Sales Manager,Chicago,131788
employee,Software Engineer,Boston,78271
employee,QA Tester,Boston,87860
employee,Marketing Coordinator,New York,134506
manager,Project Manager,San Francisco,138884
employee,Account Executive,Atlanta,101591
employee,Marketing Coordinator,Los Angeles,126891
manager,Project Manager,San Francisco,140117
employee,Sales Development Rep,Seattle,116241
hr,HR Generalist,San Francisco,86366
employee,Data Scientist,Seattle,81644
manager,Engineering Manager,Boston,155878
employee,Sales Development Rep,San Francisco,136597
employee,QA Tester,Atlanta,74386
manager,Engineering Manager,Atlanta,118869
employee,Marketing Coordinator,Seattle,127795
employee,Cloud Architect,Seattle,97468
employee,QA Tester,Atlanta,79417
manager,Director of Operations,Boston,151244
manager,Project Manager,Seattle,131410
employee,Data Scientist,Los Angeles,81660
employee,Senior Software Engineer,Seattle,81072
employee,Senior Software Engineer,Austin,69012
employee,QA Tester,Austin,83447
employee,UI/UX Designer,New York,118941
manager,Sales Manager,Boston,148251
manager,Engineering Manager,Atlanta,123649
employee,DevOps Engineer,Los Angeles,89097
hr,HR Generalist,Los Angeles,78757
employee,Account Executive,Los Angeles,126566
employee,QA Tester,Boston,91835
manager,Sales Manager,Denver,126341
employee,QA Tester,San Francisco,104253
employee,Senior Software Engineer,Denver,70185
employee,UI/UX Designer,New York,109761
employee,Data Scientist,Denver,73846
manager,Product Manager,Chicago,124457
employee,DevOps Engineer,New York,100208
employee,Graphic Designer,Atlanta,90777
employee,Software Engineer,Los Angeles,71561
manager,Engineering Manager,Chicago,132612
employee,QA Tester,Los Angeles,86654
employee,Account Executive,Seattle,125244
manager,Engineering Manager,San Francisco,155988
employee,Sales Development Rep,Chicago,108000
hr,HR Business Partner,Boston,89615
employee,DevOps Engineer,Los Angeles,91088
employee,Software Engineer,Boston,75192
hr,Compensation Analyst,Boston,100749
employee,Software Engineer,Atlanta,64399
employee,Graphic Designer,Miami,100934
employee,Account Executive,Boston,131691
employee,QA Tester,Chicago,84318
employee,Cloud Architect,Chicago,95613
manager,Product Manager,New York,147500
employee,DevOps Engineer,Denver,86763
manager,Product Manager,Seattle,130487
employee,Sales Development Rep,Denver,103692
employee,UI/UX Designer,Miami,102708
employee,Cloud Architect,Seattle,98350
hr,HR Generalist,Austin,71536
employee,Marketing Coordinator,San Francisco,147783
employee,Cloud Architect,Atlanta,81972
employee,DevOps Engineer,San Francisco,102685
hr,HR Business Partner,Denver,79702
manager,Engineering Manager,Seattle,145378
employee,UI/UX Designer,Austin,101727
employee,Graphic Designer,Atlanta,98953
employee,Cloud Architect,Atlanta,88639
employee,UI/UX Designer,Seattle,110188
manager,Product Manager,Miami,125824
employee,SEO Specialist,Miami,122999
manager,Engineering Manager,Boston,149047
employee,Data Scientist,Boston,88096
employee,Marketing Coordinator,Chicago,122980
employee,Senior Software Engineer,Chicago,72273
employee,QA Tester,Chicago,79837
employee,Account Executive,New York,129784
employee,Marketing Coordinator,Miami,115265
employee,Data Scientist,New York,92399
employee,Cloud Architect,Los Angeles,100686
employee,Data Scientist,Atlanta,72734
manager,Project Manager,Atlanta,105548
manager,Sales Manager,Seattle,141083
employee,Account Executive,Miami,111046
